subject-type,predicate,object-type
机构,实施,措施
机构,完善,方案
机构,注视,信息
人物,增强,意识
机构,分析,情况
机构,派遣,人物
机构,指导,方案
人物,组织,资源
机构,宣布,情况
机构,检测,事件
机构,提出,建议
机构,提出,方案
机构,进入,状态
机构,通报,机构
机构,成员,机构
机构,建立,制度
机构,报告,工作
机构,设立,设施
人物,分析,情况
机构,调查,产品
机构,进行,工作
人物,了解,情况
机构,参与,工作
机构,敦促,机构
机构,执行,分工
机构,防止,灾害
机构,保障,资金
机构,配置,设施
人物,实施,措施
机构,完善,机构
机构,制定,方案
机构,补充,方案
机构,组织,培训
机构,明确,人物
人物,配合,机构
人物,了解,原则
人物,指挥,工作
机构,监测,情况
机构,完善,预案
机构,管理,资源
机构,发布,命令
方案,组建,方案
人物,发布,信息
机构,抢修,资源
机构,装备,资源
机构,排查,问题
机构,提供,支援
机构,协调,行动
机构,督导,机构
机构,监管,信息
机构,确保,工作
人物,实施,工作
机构,启动,机制
方案,保证,工作
机构,赔偿,人物
机构,组织,行动
机构,终止,行动
机构,组建,机构
机构,设立,机构
机构,监测,信息
机构,实施,方案
人物,核实,情况
机构,提供,支持
机构,建立,机构
机构,采取,方案
人物,保护,区域
机构,调动,人物
机构,修复,建筑
机构,疏散,人物
机构,给予,支持
机构,保证,工作
机构,召开,会议
机构,调度,资源
机构,修订,预案
机构,监督,情况
机构,发布,信息
人物,上报,人物
人物,分析,问题
机构,完善,工作
机构,督促,机构
机构,打击,犯罪
机构,赶赴,区域
机构,会同,机构
机构,发布,情况
机构,设立,措施
机构,健全,方案
机构,跟踪,信息
机构,配备,资源
方案,参与,机构
机构,利用,机构
人物,开展,行为
机构,制定,计划
体系,成员,机构
机构,联系,机构
人物,开展,措施
机构,确保,情况
机构,汇报,机构
机构,分析,信息
机构,制定,预案
机构,实施,工作
机构,配合,机构
人物,启动,方案
机构,参加,工作
机构,供应,资源
人物,拨打,电话
机构,评估,效果
机构,监测,问题
机构,加强,工作
机构,培训,方案
机构,补充,物资
机构,落实,制度
方案,指导,机构
机构,维护,秩序
机构,指导,工作
机构,担任,职务
机构,评估,预案
机构,处置,事件
机构,监测,疾病
人物,担任,职务
机构,维持,秩序
机构,安置,人物
机构,核定,情况
机构,研判,信息
机构,公开,信息
机构,领导,机构
人物,提高,意识
机构,整理,信息
人物,接受,培训
人物,掌握,原则
方案,参与,工作
机构,发现,情况
机构,评估,工作
机构,协调,工作
机构,做好,工作
机构,落实,措施
机构,健全,制度
机构,组织,演练
机构,保持,状态
人物,参与,工作
机构,动员,人物
机构,确定,人物
人物,封存,物品
人物,评估,情况
机构,控制,情况
机构,加强,措施
人物,了解,程序
机构,储备,物资
机构,修订,方案
机构,普及,知识
机构,建立,方案
机构,报告,情况
